"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","mdsp_auddig",1,51,444.536634505881,8.94827554460313,"[315.85, 572.56]",315.851824221163,572.559615579588,63.2738631751462,3.87126785564361
"2","mdsp_auddig",2,45,435.223597959686,11.9200313512443,"[273.84, 596.14]",273.83513932197,596.140788077496,79.068542962701,4.85295691596897
"3","mdsp_auddig",3,9,154.483008735106,16.8571314072666,"[39.2, 272.44]",39.2019391159896,272.437627513011,47.6791677177239,3.31913155386333
"4","mdsp_auddig",4,14,358.608110928174,27.8608362142907,"[132.77, 583.19]",132.769347384825,583.18764874047,100.453673547929,6.57904695405558
"5","mdsp_auddig",5,28,508.525345469525,32.848177909984,"[152.98, 866.26]",152.976302790367,866.259149824864,170.684139228462,10.6530416716305
"6","mdsp_audtr",1,51,13.458180445966,0.570714576726147,"[5.26, 21.63]",5.25921136964886,21.6318496234841,4.03556147325069,0.246906678791279
"7","mdsp_audtr",2,45,19.4263253030896,0.928128653077853,"[6.86, 31.96]",6.86238784377919,31.9580523470125,6.15650899887435,0.377865479807899
"8","mdsp_audtr",3,9,5.69732053721742,0.437648802334411,"[2.71, 8.76]",2.70799093766324,8.76331062536505,1.23785774363533,0.0861720724744695
"9","mdsp_audtr",4,14,10.9844365665139,0.730447476723609,"[5.08, 16.89]",5.08150780046592,16.8904466695228,2.63366583136026,0.172487581129065
"10","mdsp_audtr",5,28,10.3672056632623,1.13462021588105,"[0, 22.65]",0,22.6519539357439,5.89565958360226,0.347911849524731
"11","mdsp_dm",1,51,6.46970356401849,0.135079749943903,"[4.53, 8.4]",4.52781279396694,8.40297556611261,0.955158071863169,0.0584391809684042
"12","mdsp_dm",2,45,6.01229518155597,0.194347286176176,"[3.38, 8.64]",3.38341057323276,8.63836555691654,1.2891540545404,0.0791238696238847
"13","mdsp_dm",3,9,3.18312275019155,0.242486467591199,"[1.53, 4.88]",1.52825627744298,4.88330505942112,0.685855302318836,0.0477450443092506
"14","mdsp_dm",4,14,5.51286102721736,0.186295427462309,"[4, 7.01]",4.00237430862165,7.01416007637461,0.671697716099837,0.0439917292924508
"15","mdsp_dm",5,28,3.72903222592859,0.206720537272073,"[1.48, 5.97]",1.48100332869837,5.96984328109977,1.0741514205695,0.067041846399398
"16","mdsp_inst",1,51,27.194428425951,1.75478939000339,"[1.96, 52.3]",1.95901342113791,52.3003452634116,12.408234772256,0.759169710977634
"17","mdsp_inst",2,45,52.1126469133424,2.72668466496043,"[15.27, 89]",15.2733471854865,89.0001557815122,18.0867799105793,1.11010473148671
"18","mdsp_inst",3,9,4.29535097313074,0.417708551813761,"[1.45, 7.22]",1.44538779074995,7.22481367750601,1.18145819818849,0.0822458816478086
"19","mdsp_inst",4,14,10.1040546795403,0.923429423658932,"[2.64, 17.57]",2.63980183090565,17.5686255470056,3.32947213627444,0.218058262511604
"20","mdsp_inst",5,28,109.58670702583,6.22130965607393,"[42.22, 177.32]",42.2232364063344,177.316070959537,32.3268732418167,2.01764223269531
"21","mdsp_nsp",1,51,11.8225590992826,0.45668945946637,"[5.26, 18.36]",5.26074733340618,18.3622373235073,3.22928213685089,0.197576305694979
"22","mdsp_nsp",2,45,21.1353532900076,0.468711149990947,"[14.8, 27.47]",14.80099924375,27.4744769239082,3.10907803915193,0.190824583418809
"23","mdsp_nsp",3,9,3.44627160797551,0.219644704874696,"[1.94, 4.98]",1.94269587332293,4.98170545962342,0.621249041074463,0.0432475522065597
"24","mdsp_nsp",4,14,5.39845363628832,0.382250134430066,"[2.31, 8.49]",2.31049232403965,8.49022271399272,1.37822245974061,0.0902643970649927
"25","mdsp_nsp",5,28,18.7472601731118,0.611944930676505,"[12.1, 25.39]",12.1018353314891,25.3899337939794,3.17975913409776,0.198460775057433
"26","mdsp_on",1,51,14.2429663523133,0.329540665879287,"[9.5, 18.95]",9.49637280365279,18.9502229984736,2.33020439519974,0.142568272577983
"27","mdsp_on",2,45,17.7782453043119,0.534379711606764,"[10.56, 25.01]",10.5616002653526,25.0106897480937,3.54467399795593,0.217559974531848
"28","mdsp_on",3,9,4.85529184086175,0.556193639804922,"[1.06, 8.75]",1.05879690432112,8.75430590450756,1.57315317743555,0.109513286414723
"29","mdsp_on",4,14,9.06064129297235,0.481780662759106,"[5.17, 12.96]",5.17440599313386,12.9632184349745,1.73708488310498,0.113767497051017
"30","mdsp_on",5,28,19.1404515692723,1.05316992244189,"[7.74, 30.6]",7.73567885070021,30.6047720085928,5.4724314440182,0.341555111575041
"31","mdsp_sem",1,51,13.0972437799481,0.354304102519966,"[8.01, 18.17]",8.00867663780711,18.1729393690754,2.50530833494082,0.153281610112626
"32","mdsp_sem",2,45,19.9717589597456,0.458286655397786,"[13.78, 26.17]",13.7776391978952,26.1692490377942,3.03992976476272,0.186580498681055
"33","mdsp_sem",3,9,4.13193887738142,0.328511480020628,"[1.89, 6.44]",1.89022776538548,6.43552075372314,0.929170780880862,0.0646831772737312
"34","mdsp_sem",4,14,6.97730443803937,0.285641162296419,"[4.68, 9.29]",4.67635345769013,9.29423377288371,1.02989385704287,0.0674511922149426
"35","mdsp_sem",5,28,18.7865360150708,0.47423223843629,"[13.64, 23.94]",13.6419993868234,23.939731033137,2.46418299467632,0.15379896601683
"36","mdsp_so",1,51,21.4386422361182,0.281943694613438,"[17.39, 25.47]",17.3855682414821,25.4739583196466,1.99364298373951,0.121976525713571
"37","mdsp_so",2,45,19.4532248461836,0.364787298641965,"[14.52, 24.38]",14.5155835699553,24.3790649218144,2.41972519576544,0.148514462054445
"38","mdsp_so",3,9,8.15559089581199,0.554712473629162,"[4.37, 12.05]",4.37042533324417,12.0454408814732,1.56896380684778,0.109221648100249
"39","mdsp_so",4,14,14.581425483896,0.590862454227986,"[9.79, 19.34]",9.78866481775546,19.340971895735,2.1303848754655,0.139526028574854
"40","mdsp_so",5,28,23.433525717075,0.710267820612256,"[15.74, 31.16]",15.7370087066465,31.1601428187311,3.69065985684493,0.230348018442166
"41","mdsp_viddig",1,51,63.6843726976798,2.26683784029142,"[31.27, 96.3]",31.26515549187,96.2961139651903,16.0289640872033,0.980695824724514
"42","mdsp_viddig",2,45,115.095545156025,5.19893187778934,"[44.76, 185.34]",44.762388283831,185.336272892931,34.4858126984901,2.11662131319273
"43","mdsp_viddig",3,9,21.269567995986,2.02416518759561,"[7.45, 35.46]",7.44974163029051,35.4561413878812,5.72520372156238,0.398553608088035
"44","mdsp_viddig",4,14,42.2362965085741,1.72371395647816,"[28.34, 56.21]",28.3427939152985,56.2095925400172,6.21493905431491,0.407037138720693
"45","mdsp_viddig",5,28,67.3770400175231,3.32326812592824,"[31.24, 103.4]",31.2350115694594,103.398227344074,17.2682077238458,1.07777405275056
"46","mdsp_vidtr",1,51,17.9440801777412,0.574946922277,"[9.71, 26.2]",9.70725594818286,26.2013115715671,4.06548867564402,0.248737706814871
"47","mdsp_vidtr",2,45,26.0639731028928,0.535872998233941,"[18.83, 33.32]",18.8317394457423,33.3212058957051,3.55457934084953,0.218167930622847
"48","mdsp_vidtr",3,9,4.63765478864028,0.470264814079335,"[1.43, 7.93]",1.42738101499954,7.93397665044733,1.33010975595572,0.0925940923975679
"49","mdsp_vidtr",4,14,9.30609543991451,0.650091140427948,"[4.05, 14.56]",4.04961544122478,14.5594560269756,2.34393694053783,0.153512267341682
"50","mdsp_vidtr",5,28,33.4455633632103,1.38781692228903,"[18.44, 48.57]",18.4350502243348,48.5708467426584,7.21130826302539,0.450084980246206
